Budget,Climate,Duration,Activity,Season,Region,Destination
Low,Temperate,4,City Break,Autumn,Domestic,Andaman Islands
Low,Cool,4,Historical,Autumn,Domestic,Mysore
Low,Hot,5,Wildlife,Monsoon,International,Serengeti
Low,Cold,9,Mountain Climbing,Spring,International,Mont Blanc
High,Cool,8,Hiking,Spring,International,New Zealand
High,Cold,9,Skiing,Winter,Domestic,Shimla
Low,Hot,3,Desert Safari,Winter,International,Egypt
High,Cold,9,Mountain Climbing,Spring,Domestic,Rishikesh
Medium,Cold,5,Skiing,Winter,International,Sweden
Medium,Cold,8,Hiking,Autumn,Domestic,Ladakh
Low,Rainy,7,Wildlife,Spring,Domestic,Andaman Islands
Low,Cold,7,Hiking,Autumn,International,New Zealand
Medium,Sunny,8,Cruise,Summer,International,Greek Islands
High,Warm,6,Beach,Spring,International,Cancun
Low,Mild,8,Cruise,Summer,Domestic,Sundarbans
Low,Warm,4,Island Hopping,Spring,Domestic,Mysore
Medium,Cool,8,Hiking,Autumn,Domestic,Rajasthan Forts
Low,Cool,4,City Break,Autumn,International,Paris
Medium,Temperate,3,Historical,Spring,International,Kyoto
Medium,Cold,9,Mountain Climbing,Summer,International,Everest Base Camp
